"Day","Section","Gear","Mean","Median","l95","u95","Date","DayType"
64,"Sauk","Bank",0.014,0.014,0.007,0.024,"2019-04-05",0
64,"Skagit","Boat",0.033,0.031,0.018,0.057,"2019-04-05",0
64,"Sauk","Boat",0.04,0.039,0.023,0.059,"2019-04-05",0
65,"Skagit","Bank",0.019,0.019,0.008,0.034,"2019-04-06",1
65,"Sauk","Bank",0.015,0.014,0.008,0.025,"2019-04-06",1
65,"Skagit","Boat",0.033,0.031,0.018,0.051,"2019-04-06",1
65,"Sauk","Boat",0.04,0.039,0.025,0.06,"2019-04-06",1
66,"Skagit","Bank",0.019,0.019,0.008,0.036,"2019-04-07",1
66,"Sauk","Bank",0.015,0.015,0.007,0.027,"2019-04-07",1
66,"Skagit","Boat",0.034,0.032,0.021,0.057,"2019-04-07",1
66,"Sauk","Boat",0.043,0.041,0.028,0.07,"2019-04-07",1
67,"Skagit","Bank",0.019,0.018,0.009,0.035,"2019-04-08",0
67,"Sauk","Bank",0.016,0.015,0.008,0.028,"2019-04-08",0
67,"Skagit","Boat",0.034,0.033,0.02,0.053,"2019-04-08",0
67,"Sauk","Boat",0.042,0.041,0.027,0.068,"2019-04-08",0
68,"Skagit","Bank",0.02,0.019,0.009,0.035,"2019-04-09",0
68,"Sauk","Bank",0.016,0.016,0.008,0.033,"2019-04-09",0
68,"Skagit","Boat",0.035,0.033,0.019,0.055,"2019-04-09",0
68,"Sauk","Boat",0.041,0.04,0.02,0.074,"2019-04-09",0
69,"Skagit","Bank",0.02,0.019,0.009,0.037,"2019-04-10",0
69,"Sauk","Bank",0.016,0.016,0.008,0.031,"2019-04-10",0
69,"Skagit","Boat",0.034,0.033,0.018,0.058,"2019-04-10",0
69,"Sauk","Boat",0.041,0.039,0.022,0.076,"2019-04-10",0
70,"Skagit","Bank",0.02,0.019,0.009,0.036,"2019-04-11",0
70,"Sauk","Bank",0.016,0.016,0.008,0.028,"2019-04-11",0
70,"Skagit","Boat",0.034,0.033,0.019,0.059,"2019-04-11",0
70,"Sauk","Boat",0.04,0.039,0.022,0.063,"2019-04-11",0
71,"Skagit","Bank",0.02,0.019,0.009,0.035,"2019-04-12",0
71,"Sauk","Bank",0.017,0.016,0.009,0.03,"2019-04-12",0
71,"Skagit","Boat",0.034,0.033,0.019,0.055,"2019-04-12",0
71,"Sauk","Boat",0.037,0.037,0.018,0.058,"2019-04-12",0
72,"Skagit","Bank",0.019,0.019,0.009,0.034,"2019-04-13",1
72,"Sauk","Bank",0.016,0.016,0.009,0.029,"2019-04-13",1
72,"Skagit","Boat",0.034,0.033,0.02,0.053,"2019-04-13",1
72,"Sauk","Boat",0.036,0.037,0.019,0.055,"2019-04-13",1
73,"Skagit","Bank",0.019,0.019,0.009,0.033,"2019-04-14",1
73,"Sauk","Bank",0.016,0.015,0.008,0.03,"2019-04-14",1
73,"Skagit","Boat",0.034,0.033,0.018,0.052,"2019-04-14",1
73,"Sauk","Boat",0.037,0.036,0.022,0.055,"2019-04-14",1
74,"Skagit","Bank",0.02,0.019,0.009,0.035,"2019-04-15",0
74,"Sauk","Bank",0.016,0.015,0.007,0.028,"2019-04-15",0
74,"Skagit","Boat",0.035,0.034,0.017,0.052,"2019-04-15",0
74,"Sauk","Boat",0.04,0.039,0.02,0.065,"2019-04-15",0
75,"Skagit","Bank",0.02,0.019,0.008,0.036,"2019-04-16",0
75,"Sauk","Bank",0.016,0.015,0.007,0.028,"2019-04-16",0
75,"Skagit","Boat",0.036,0.035,0.019,0.058,"2019-04-16",0
75,"Sauk","Boat",0.042,0.041,0.025,0.069,"2019-04-16",0
76,"Skagit","Bank",0.02,0.019,0.007,0.037,"2019-04-17",0
